행정구,총인구수,내국인,외국인
강남구,546291.0,540957.0,5334.0
강동구,462453.0,458385.0,4068.0
강북구,294804.0,290155.0,4649.0
강서구,569978.0,564339.0,5639.0
관악구,500582.0,485172.0,15410.0
광진구,351959.0,336604.0,15355.0
구로구,416815.0,393929.0,22886.0
금천구,242076.0,228611.0,13465.0
노원구,504423.0,499989.0,4434.0
도봉구,310133.0,307740.0,2393.0
동대문구,359113.0,341238.0,17875.0
동작구,390740.0,380154.0,10586.0
마포구,375639.0,364257.0,11382.0
서대문구,321379.0,307441.0,13938.0
서초구,410766.0,406404.0,4362.0
성동구,285543.0,278366.0,7177.0
성북구,440089.0,427671.0,12418.0
송파구,661515.0,655744.0,5771.0
양천구,440591.0,437401.0,3190.0
영등포구,398290.0,375586.0,22704.0
용산구,230692.0,216152.0,14540.0
은평구,471155.0,467098.0,4057.0
종로구,151127.0,139945.0,11182.0
중구,131825.0,121405.0,10420.0
중랑구,387940.0,382797.0,5143.0
